lvl,price,price change,farming,farming change,total farming
1,8231,,1033,,1033
2,8496,1,1037,1,2070
3,8912,1,1041,1,3111
4,9498,1,1045,1,4156
5,10286,1,1049,1,5205
6,11319,1,1054,1,6259
7,12656,1,1058,1,7317
8,14380,1,1062,1,8379
9,16602,1,1067,1,9446
10,19477,1,1071,1,10517
11,23218,1,1075,1,11592
12,28125,1,1080,1,12672
13,34617,1,1084,1,13756
14,43295,1,1089,1,14845
15,55023,1,1093,1,15938
16,71054,1,1098,1,17036
17,93237,1,1103,1,18139
18,124318,1,1107,1,19246
19,168434,1,1112,1,20358
20,231886,1,1117,1,21475
21,324389,1,1122,1,22597
22,461114,1,1127,1,23724
23,666037,1,1131,1,24855
24,977545,1,1136,1,25991
25,1457889,1,1141,1,27132
26,2209330,2,1146,1,28278
27,3402088,2,1151,1,29429
28,5323279,2,1157,1,30586
29,8463725,2,1162,1,31748
30,13673907,2,1167,1,32915
31,22447729,2,1172,1,34087
32,37445609,2,1177,1,35264
33,63471402,2,1183,1,36447
34,109321102,2,1188,1,37635
35,191328040,2,1193,1,38828
36,340252994,2,1199,1,40027
37,614856829,2,1204,1,41231
38,1129002120,2,1210,1,42441
39,2106513399,2,1215,1,43656
40,3993764074,2,1221,1,44877
41,7693948902,2,1227,1,46104
42,15061384690,2,1232,1,47336
43,29959131305,2,1238,1,48574
44,60553917291,2,1244,1,49818
45,124366663122,2,1249,1,51067
46,259546055073,2,1255,1,52322
47,550393877624,2,1261,1,53583
48,1185991204059,2,1267,1,54850
49,2596797315672,2,1273,1,56123
50,5777545185456,2,1279,1,57402
51,13061629470159,2,1285,1,58687
52,30005445566456,2,1291,1,59978
53,70040866866197,2,1297,1,61275
54,166131373846467,2,1303,1,62578
55,400405940630876,2,1309,1,63887
56,980613978409773,2,1316,1,65203
57,2440306399749720,2,1322,1,66525
58,6170769861477050,3,1328,1,67853
59,15855613554376100,3,1335,1,69188
60,41397628852188400,3,1341,1,70529
61,109828889546232000,3,1347,1,71876
62,296078198954217000,3,1354,1,73230
63,811045053091193000,3,1360,1,74590
64,2257523297064600000,3,1367,1,75957
65,6385107502740770000,3,1373,1,77330
66,18350711105759300000,3,1380,1,78710
67,53590313105871200000,3,1387,1,80097
68,159026097839605000000,3,1393,1,81490
69,479511715183389000000,3,1400,1,82890
70,1469192671886200000000,3,1407,1,84297
71,4574114129696710000000,3,1414,1,85711
72,14470513787910800000000,3,1421,1,87132
73,46516777181597800000000,3,1427,1,88559
74,151944154255922000000000,3,1434,1,89993
75,504321038847610000000000,3,1441,1,91434
76,1700900417409400000000000,3,1448,1,92882
77,5829071750065950000000000,3,1455,1,94337
78,20298718746967300000000000,3,1463,1,95800
79,71826807375150000000000000,4,1470,1,97270
80,258257659845566000000000000,4,1477,1,98747
81,943557935824618000000000000,4,1484,1,100231
82,3502939556065280000000000000,4,1491,1,101722
83,13214338488253700000000000000,4,1499,1,103221
84,50653204142649800000000000000,4,1506,1,104727
85,197295477172722000000000000000,4,1513,1,106240
86,780865163650560000000000000000,4,1521,1,107761
87,3140390672512930000000000000000,4,1528,1,109289
88,12833349471940300000000000000000,4,1536,1,110825
89,53289920804188300000000000000000,4,1543,1,112368
90,224853079782977000000000000000000,4,1551,1,113919
91,964053904114661000000000000000000,4,1559,1,115478
92,4200031104925300000000000000000000,4,1566,1,117044
93,18593125789481100000000000000000000,4,1574,1,118618
94,83637495574535600000000000000000000,4,1582,1,120200
95,382294758891831000000000000000000000,5,1589,1,121789
96,1775596907327630000000000000000000000,5,1597,1,123386
97,8379905622628120000000000000000000000,5,1605,1,124991
98,40186722388099800000000000000000000000,5,1613,1,126604
99,195827986150566000000000000000000000000,5,1621,1,128225
100,969651425941287000000000000000000000000,5,1629,1,129854
