lvl,price,price change,farming,farming change,total farming
1,22292,,1179,,1179
2,23017,1,1185,1,2364
3,24246,1,1192,1,3556
4,26056,1,1198,1,4754
5,28567,1,1204,1,5958
6,31952,1,1210,1,7168
7,36461,1,1217,1,8385
8,42447,1,1223,1,9608
9,50413,1,1230,1,10838
10,61084,1,1236,1,12074
11,75508,1,1243,1,13317
12,95225,1,1250,1,14567
13,122516,1,1256,1,15823
14,160813,1,1263,1,17086
15,215346,1,1270,1,18356
16,294196,1,1277,1,19633
17,410036,1,1284,1,20917
18,583034,1,1291,1,22208
19,845768,1,1298,1,23506
20,1251683,1,1305,1,24811
21,1889835,2,1313,1,26124
22,2910979,2,1320,1,27444
23,4574464,2,1327,1,28771
24,7333768,2,1335,1,30106
25,11994995,2,1342,1,31448
26,20015149,2,1350,1,32798
27,34072460,2,1357,1,34155
28,59174425,2,1365,1,35520
29,104845668,2,1373,1,36893
30,189519030,2,1380,1,38273
31,349495065,2,1388,1,39661
32,657529376,2,1396,1,41057
33,1262045936,2,1404,1,42461
34,2471274880,2,1412,1,43873
35,4936883013,2,1420,1,45293
36,10061680144,2,1428,1,46721
37,20920596728,2,1436,1,48157
38,44377570064,2,1445,1,49602
39,96037060424,2,1453,1,51055
40,212031354655,2,1461,1,52516
41,477581183396,2,1470,1,53986
42,1097438561589,2,1478,1,55464
43,2572759051818,2,1487,1,56951
44,6153240687382,2,1495,1,58446
45,15013936714932,2,1504,1,59950
46,37374134866990,2,1513,1,61463
47,94914727578105,3,1522,1,62985
48,245913262937107,3,1530,1,64515
49,650004238781973,3,1539,1,66054
50,1752815943173560,3,1548,1,67602
51,4822167930666990,3,1557,1,69159
52,13534251291890700,3,1566,1,70725
53,38753598077022700,3,1576,1,72301
54,113207634388476000,3,1585,1,73886
55,337384626711635000,3,1594,1,75480
56,1025795414821850000,3,1603,1,77083
57,3181867619435400000,3,1613,1,78696
58,10069069770091700000,3,1622,1,80318
59,32507418541633200000,3,1632,1,81950
60,107068447489510000000,3,1641,1,83591
61,359771218802947000000,3,1651,1,85242
62,1233324103277540000000,3,1661,1,86903
63,4313342161529660000000,3,1670,1,88573
64,15389924578015600000000,4,1680,1,90253
65,56020239614470800000000,4,1690,1,91943
66,208036396408134000000000,4,1700,1,93643
67,788169404533239000000000,4,1710,1,95353
68,3046391477793220000000000,4,1720,1,97073
69,12012620051680900000000000,4,1730,1,98803
70,48325422509666200000000000,4,1740,1,100543
71,198335049175058000000000000,4,1751,1,102294
72,830441733407919000000000000,4,1761,1,104055
73,3547355829367770000000000000,4,1771,1,105826
74,15459172077352500000000000000,4,1782,1,107608
75,68731148077382200000000000000,4,1792,1,109400
76,311750282009373000000000000000,5,1803,1,111203
77,1442600243930980000000000000000,5,1813,1,113016
78,6810375173351310000000000000000,5,1824,1,114840
79,32800613194796000000000000000000,5,1835,1,116675
80,161167985652551000000000000000000,5,1845,1,118520
81,807907207867905000000000000000000,5,1856,1,120376
82,4131712339921920000000000000000000,5,1867,1,122243
83,21556813347479800000000000000000000,5,1878,1,124121
84,114742665673258000000000000000000000,5,1889,1,126010
85,623090598517747000000000000000000000,5,1900,1,127910
86,3451940898790390000000000000000000000,6,1911,1,129821
87,19510185298652900000000000000000000000,6,1922,1,131743
88,112498135954555000000000000000000000000,6,1934,1,133677
89,661782301538487000000000000000000000000,6,1945,1,135622
90,3971648998149580000000000000000000000000,6,1956,1,137578
91,24317138096788300000000000000000000000000,6,1968,1,139546
92,151893766703368000000000000000000000000000,6,1979,1,141525
93,967950910049848000000000000000000000000000,6,1991,1,143516
94,6292925678254250000000000000000000000000000,7,2002,1,145518
95,41738588903019700000000000000000000000000000,7,2014,1,147532
96,282428690086659000000000000000000000000000000,7,2026,1,149558
97,1949690837760590000000000000000000000000000000,7,2038,1,151596
98,13731202738727700000000000000000000000000000000,7,2049,1,153645
99,98659133715958700000000000000000000000000000000,7,2061,1,155706
100,723189156557886000000000000000000000000000000000,7,2073,1,157779
