lvl,price,price change,farming,farming change,total farming
1,408,,57,,57
2,419,1,63,1,120
3,438,1,69,1,189
4,466,1,75,1,264
5,505,1,82,1,346
6,557,1,88,1,434
7,624,1,94,1,528
8,713,1,101,1,629
9,827,1,107,1,736
10,978,1,114,1,850
11,1175,1,121,1,971
12,1438,1,127,1,1098
13,1790,1,134,1,1232
14,2267,1,141,1,1373
15,2922,1,148,1,1521
16,3832,1,155,1,1676
17,5114,1,162,1,1838
18,6945,1,169,1,2007
19,9597,1,176,1,2183
20,13494,1,183,1,2366
21,19307,1,190,1,2556
22,28108,1,197,1,2753
23,41639,1,205,1,2958
24,62768,2,212,1,3170
25,96278,2,220,1,3390
26,150272,2,227,1,3617
27,238661,2,235,1,3852
28,385694,2,242,1,4094
29,634251,2,250,1,4344
30,1061295,2,258,1,4602
31,1807039,2,266,1,4868
32,3130803,2,274,1,5142
33,5519512,2,282,1,5424
34,9901531,2,290,1,5714
35,18074271,2,298,1,6012
36,33571901,2,306,1,6318
37,63452363,2,314,1,6632
38,122032749,2,322,1,6954
39,238815059,2,331,1,7285
40,475558281,2,339,1,7624
41,963612692,2,347,1,7971
42,1986817601,2,356,1,8327
43,4168407895,2,364,1,8691
44,8898957749,2,373,1,9064
45,19331466620,2,382,1,9446
46,42731406413,2,390,1,9836
47,96113920812,2,399,1,10235
48,219979456633,2,408,1,10643
49,512312178596,2,417,1,11060
50,1214070646457,2,426,1,11486
51,2927588024169,2,435,1,11921
52,7183443642810,2,444,1,12365
53,17935444310822,2,453,1,12818
54,45566777348674,3,462,1,13280
55,117798894199387,3,472,1,13752
56,309878065830441,3,481,1,14233
57,829463315709966,3,490,1,14723
58,2259229001022620,3,500,1,15223
59,6261523994535760,3,509,1,15732
60,17658612153608600,3,519,1,16251
61,50674539505761900,3,529,1,16780
62,147972079670058000,3,538,1,17318
63,439669630487288000,3,548,1,17866
64,1329321053906930000,3,558,1,18424
65,4089686538267200000,3,568,1,18992
66,12802856705056900000,3,578,1,19570
67,40783122275504700000,3,588,1,20158
68,132193707256536000000,3,598,1,20756
69,436011372230857000000,3,608,1,21364
70,1463327639084280000000,3,618,1,21982
71,4997376362043170000000,3,628,1,22610
72,17365978735113000000000,3,638,1,23248
73,61406337542126500000000,4,649,1,23897
74,220944833265805000000000,4,659,1,24556
75,808930534206390000000000,4,670,1,25226
76,3013667477511210000000000,4,680,1,25906
77,11424472535494300000000000,4,691,1,26597
78,44069052033162100000000000,4,701,1,27298
79,172976849589707000000000000,4,712,1,28010
80,690874211013923000000000000,4,723,1,28733
81,2807803455294970000000000000,4,734,1,29467
82,11611575507856300000000000000,4,745,1,30212
83,48862121710026100000000000000,4,756,1,30968
84,209223380864583000000000000000,4,767,1,31735
85,911601086435703000000000000000,4,778,1,32513
86,4041626500876640000000000000000,4,789,1,33302
87,18233256560564300000000000000000,5,800,1,34102
88,83700689078420600000000000000000,5,811,1,34913
89,390976403937582000000000000000000,5,823,1,35736
90,1858355452311710000000000000000000,5,834,1,36570
91,8988014172949290000000000000000000,5,845,1,37415
92,44233920690719100000000000000000000,5,857,1,38272
93,221515359721580000000000000000000000,5,868,1,39140
94,1128779151999150000000000000000000000,5,880,1,40020
95,5852896413968180000000000000000000000,5,892,1,40912
96,30880862399586300000000000000000000000,5,903,1,41815
97,165792441269586000000000000000000000000,5,915,1,42730
98,905725837121587000000000000000000000000,5,927,1,43657
99,5034838112558180000000000000000000000000,6,939,1,44596
100,28479410090996500000000000000000000000000,6,951,1,45547
