lvl,price,price change,farming,farming change,total farming
1,428,,67,,67
2,493,1,73,1,140
3,614,1,79,1,219
4,829,1,86,1,305
5,1212,1,92,1,397
6,1920,2,98,1,495
7,3294,2,105,1,600
8,6124,2,111,1,711
9,12333,2,118,1,829
10,26903,2,124,1,953
11,63577,2,131,1,1084
12,162755,3,138,1,1222
13,451351,3,144,1,1366
14,1355933,3,151,1,1517
15,4412712,3,158,1,1675
16,15556669,4,165,1,1840
17,59411597,4,172,1,2012
18,245792932,4,179,1,2191
19,1101567497,4,186,1,2377
20,5348061523,5,193,1,2570
21,28127117963,5,200,1,2770
22,160249850527,6,208,1,2978
23,989039394070,6,215,1,3193
24,6612612988006,7,222,1,3415
25,47893456332464,7,230,1,3645
26,375770612496316,8,237,1,3882
27,3193838883680780,8,245,1,4127
28,29406731334368900,9,253,1,4380
29,293308103728712000,10,260,1,4640
30,3169165569992610000,11,268,1,4908
31,37094485735759300000,12,276,1,5184
32,470345873961721000000,13,284,1,5468
33,6460540914120090000000,14,292,1,5760
34,96131115599671900000000,15,300,1,6060
35,1549539466108370000000000,16,308,1,6368
36,27057325126745100000000000,17,316,1,6684
37,511812203718225000000000000,19,324,1,7008
38,10487693153919700000000000000,20,333,1,7341
39,232805301685420000000000000000,22,341,1,7682
40,5598211715243290000000000000000,24,349,1,8031
41,145830824007910000000000000000000,26,358,1,8389
42,4115218500233430000000000000000000,28,366,1,8755
43,125799822235940000000000000000000000,31,375,1,9130
44,4165917969666230000000000000000000000,33,383,1,9513
45,149446228450336000000000000000000000000,36,392,1,9905
46,5807681124635980000000000000000000000000,39,401,1,10306
47,244491702866362000000000000000000000000000,42,409,1,10715
48,11149850550236600000000000000000000000000000,46,418,1,11133
49,550829924342340000000000000000000000000000000,49,427,1,11560
50,29478783914555100000000000000000000000000000000,54,436,1,11996
51,1709012188891840000000000000000000000000000000000,58,445,1,12441
52,107330787353484000000000000000000000000000000000000,63,454,1,12895
53,7302087435184270000000000000000000000000000000000000,68,463,1,13358
54,538162337549490000000000000000000000000000000000000000,74,473,1,13831
55,42965822682634400000000000000000000000000000000000000000,80,482,1,14313
56,3716006980095640000000000000000000000000000000000000000000,86,491,1,14804
57,348155667214708000000000000000000000000000000000000000000000,94,501,1,15305
58,35335722474373200000000000000000000000000000000000000000000000,101,510,1,15815
59,3885062772610350000000000000000000000000000000000000000000000000,110,520,1,16335
60,462727876415045000000000000000000000000000000000000000000000000000,119,529,1,16864
61,59703095047293500000000000000000000000000000000000000000000000000000,129,539,1,17403
62,8344716494264780000000000000000000000000000000000000000000000000000000,140,549,1,17952
63,1263484404188340000000000000000000000000000000000000000000000000000000000,151,558,1,18510
64,207239121818657000000000000000000000000000000000000000000000000000000000000,164,568,1,19078
65,36822829712535500000000000000000000000000000000000000000000000000000000000000,178,578,1,19656
66,7087713176853290000000000000000000000000000000000000000000000000000000000000000,192,588,1,20244
67,1477878284257430000000000000000000000000000000000000000000000000000000000000000000,209,598,1,20842
68,333821850012883000000000000000000000000000000000000000000000000000000000000000000000,226,608,1,21450
69,81683513511666800000000000000000000000000000000000000000000000000000000000000000000000,245,618,1,22068
70,21651980092798800000000000000000000000000000000000000000000000000000000000000000000000000,265,628,1,22696
71,6217336692297850000000000000000000000000000000000000000000000000000000000000000000000000000,287,638,1,23334
72,1933992176062650000000000000000000000000000000000000000000000000000000000000000000000000000000,311,649,1,23983
73,651701315272317000000000000000000000000000000000000000000000000000000000000000000000000000000000,337,659,1,24642
74,237895397931506000000000000000000000000000000000000000000000000000000000000000000000000000000000000,365,669,1,25311
75,94073443740493600000000000000000000000000000000000000000000000000000000000000000000000000000000000000,395,680,1,25991
76,40298752559191600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,428,690,1,26681
77,18700780026267000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,464,701,1,27382
78,9400942560504200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,503,712,1,28094
79,5119489247157970000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,545,722,1,28816
80,3020128555958070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,590,733,1,29549
81,1930046545946400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,639,744,1,30293
82,1336145318744340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,692,755,1,31048
83,1002035630821370000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,750,766,1,31814
84,814059583504706000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,812,777,1,32591
85,716428379002696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,880,788,1,33379
86,683019222757311000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,953,799,1,34178
87,705401909509111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1033,810,1,34988
88,789194216491597000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1119,822,1,35810
89,956477405767804000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1212,833,1,36643
90,1255767084857950000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1313,844,1,37487
91,1786022945641270000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1422,856,1,38343
92,2751747187635230000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1541,867,1,39210
93,4592758261005660000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1669,879,1,40089
94,8303901735241700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1808,890,1,40979
95,16264262464380300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1959,902,1,41881
96,34508819704149800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2122,914,1,42795
97,79317569064136700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2298,925,1,43720
98,197493244165733000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2490,937,1,44657
99,532695037440667000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2697,949,1,45606
100,1556498177579870000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2922,961,1,46567
