lvl,price,price change,farming,farming change,total farming
1,1141,,198,,198
2,1202,1,206,1,404
3,1283,1,215,1,619
4,1386,1,223,1,842
5,1518,1,232,1,1074
6,1683,1,241,1,1315
7,1891,1,250,1,1565
8,2151,1,259,1,1824
9,2478,1,268,1,2092
10,2893,1,277,1,2369
11,3420,1,287,1,2656
12,4095,1,296,1,2952
13,4967,1,306,1,3258
14,6102,1,316,1,3574
15,7593,1,326,1,3900
16,9570,1,336,1,4236
17,12217,1,346,1,4582
18,15797,1,357,1,4939
19,20690,1,367,1,5306
20,27447,1,378,1,5684
21,36879,1,389,1,6073
22,50191,1,400,1,6473
23,69189,1,411,1,6884
24,96606,1,422,1,7306
25,136626,1,434,1,7740
26,195712,1,445,1,8185
27,283963,1,457,1,8642
28,417316,1,469,1,9111
29,621195,1,481,1,9592
30,936589,2,493,1,10085
31,1430307,2,505,1,10590
32,2212426,2,518,1,11108
33,3466306,2,530,1,11638
34,5500777,2,543,1,12181
35,8841791,2,556,1,12737
36,14395123,2,569,1,13306
37,23738292,2,582,1,13888
38,39649940,2,595,1,14483
39,67080235,2,609,1,15092
40,114949102,2,622,1,15714
41,199515004,2,636,1,16350
42,350755515,2,650,1,17000
43,624586257,2,664,1,17664
44,1126521046,2,678,1,18342
45,2057999024,2,692,1,19034
46,3808114417,2,706,1,19740
47,7137297213,2,721,1,20461
48,13549290212,2,735,1,21196
49,26053032262,2,750,1,21946
50,50740994964,2,765,1,22711
51,100096444184,2,780,1,23491
52,200003359329,2,795,1,24286
53,404776135752,2,811,1,25097
54,829758058947,2,826,1,25923
55,1722848256086,2,842,1,26765
56,3623277069224,2,858,1,27623
57,7718182308692,2,874,1,28497
58,16652808553139,2,890,1,29387
59,36393088639429,2,906,1,30293
60,80558117790851,2,922,1,31215
61,180617021103844,2,939,1,32154
62,410172943457642,2,955,1,33109
63,943483507068653,2,972,1,34081
64,2198166502845270,2,989,1,35070
65,5187353297149270,2,1006,1,36076
66,12399096475650400,2,1023,1,37099
67,30018792586379700,2,1040,1,38139
68,73613144614133600,2,1058,1,39197
69,182842221816755000,2,1075,1,40272
70,459998673180754000,3,1093,1,41365
71,1172183590542140000,3,1111,1,42476
72,3025475672133800000,3,1129,1,43605
73,7909529719612000000,3,1147,1,44752
74,20944337555903800000,3,1165,1,45917
75,56174803839252800000,3,1184,1,47101
76,152607356604711000000,3,1202,1,48303
77,419921725523326000000,3,1221,1,49524
78,1170361934999050000000,3,1240,1,50764
79,3303931249319980000000,3,1259,1,52023
80,9447149418127130000000,3,1278,1,53301
81,27360846924690100000000,3,1297,1,54598
82,80263345490019600000000,3,1317,1,55915
83,238486581603485000000000,3,1336,1,57251
84,717744062885461000000000,3,1356,1,58607
85,2187934106272220000000000,3,1376,1,59983
86,6755505270812250000000000,3,1396,1,61379
87,21127125174144600000000000,3,1416,1,62795
88,66924008094290700000000000,3,1436,1,64231
89,214724920227662000000000000,3,1457,1,65688
90,697817612268765000000000000,3,1477,1,67165
91,2296996704849760000000000000,3,1498,1,68663
92,7658395439506590000000000000,3,1519,1,70182
93,25862718437902000000000000000,3,1540,1,71722
94,88464601518780000000000000000,3,1561,1,73283
95,306495320940668000000000000000,3,1582,1,74865
96,1075566188793810000000000000000,4,1603,1,76468
97,3823044941404370000000000000000,4,1625,1,78093
98,13763872301550500000000000000000,4,1646,1,79739
99,50191576317580200000000000000000,4,1668,1,81407
100,185387311110728000000000000000000,4,1690,1,83097
