lvl,price,price change,farming,farming change,total farming
1,410,,104,,104
2,425,1,107,1,211
3,449,1,109,1,320
4,485,1,111,1,431
5,534,1,113,1,544
6,599,1,115,1,659
7,687,1,117,1,776
8,803,1,119,1,895
9,957,1,121,1,1016
10,1164,1,123,1,1139
11,1445,1,126,1,1265
12,1830,1,128,1,1393
13,2364,1,130,1,1523
14,3115,1,132,1,1655
15,4188,1,135,1,1790
16,5745,1,137,1,1927
17,8039,1,139,1,2066
18,11476,1,142,1,2208
19,16714,1,144,1,2352
20,24835,1,146,1,2498
21,37647,2,149,1,2647
22,58221,2,151,1,2798
23,91858,2,154,1,2952
24,147857,2,156,1,3108
25,242802,2,159,1,3267
26,406769,2,161,1,3428
27,695231,2,164,1,3592
28,1212264,2,166,1,3758
29,2156506,2,169,1,3927
30,3913724,2,171,1,4098
31,7246289,2,174,1,4272
32,13687588,2,177,1,4449
33,26376921,2,179,1,4628
34,51856975,2,182,1,4810
35,104010249,2,185,1,4995
36,212829088,2,187,1,5182
37,444295305,2,190,1,5372
38,946233571,2,193,1,5565
39,2055942053,2,196,1,5761
40,4557317410,2,198,1,5959
41,10306081553,2,201,1,6160
42,23777367029,2,204,1,6364
43,55965429125,2,207,1,6571
44,134388406479,2,210,1,6781
45,329222614924,2,213,1,6994
46,822817283322,2,216,1,7210
47,2097988196889,3,219,1,7429
48,5457434917679,3,222,1,7651
49,14483048319029,3,224,1,7875
50,39211845570586,3,227,1,8102
51,108307985260360,3,230,1,8332
52,305203535659064,3,234,1,8566
53,877413946681580,3,237,1,8803
54,2573388737077790,3,240,1,9043
55,7700025227009820,3,243,1,9286
56,23505245407894800,3,246,1,9532
57,73202063106807300,3,249,1,9781
58,232577523786117000,3,252,1,10033
59,753872763496049000,3,255,1,10288
60,2492953933689050000,3,258,1,10546
61,8410394035579350000,3,262,1,10808
62,28947050784685100000,3,265,1,11073
63,101643167929844000000,4,268,1,11341
64,364114480882038000000,4,271,1,11612
65,1330710549242560000000,4,275,1,11887
66,4961524473913800000000,4,278,1,12165
67,18872636091850900000000,4,281,1,12446
68,73237900042929900000000,4,285,1,12731
69,289951320088117000000000,4,288,1,13019
70,1171116735228690000000000,4,291,1,13310
71,4825709488081130000000000,4,295,1,13605
72,20286543168757900000000000,4,298,1,13903
73,87004319612716400000000000,4,302,1,14205
74,380679482632919000000000000,4,305,1,14510
75,1699276358827970000000000000,4,309,1,14819
76,7738458357619210000000000000,5,312,1,15131
77,35952639006381200000000000000,5,316,1,15447
78,170409180507348000000000000000,5,319,1,15766
79,824026334843886000000000000000,5,323,1,16089
80,4065136046358600000000000000000,5,326,1,16415
81,20459497706110200000000000000000,5,330,1,16745
82,105051132748452000000000000000000,5,334,1,17079
83,550290989523709000000000000000000,5,337,1,17416
84,2940830225748510000000000000000000,5,341,1,17757
85,16033686756033200000000000000000000,5,345,1,18102
86,89183133126544300000000000000000000,6,348,1,18450
87,506078568625169000000000000000000000,6,352,1,18802
88,2929807297850330000000000000000000000,6,356,1,19158
89,17303982065514000000000000000000000000,6,360,1,19518
90,104265095610403000000000000000000000000,6,363,1,19881
91,640940514943547000000000000000000000000,6,367,1,20248
92,4019595892129910000000000000000000000000,6,371,1,20619
93,25717748926266600000000000000000000000000,6,375,1,20994
94,167868573597531000000000000000000000000000,7,379,1,21373
95,1117871123848790000000000000000000000000000,7,383,1,21756
96,7594513618121290000000000000000000000000000,7,387,1,22143
97,52637357919053200000000000000000000000000000,7,391,1,22534
98,372198045970736000000000000000000000000000000,7,395,1,22929
99,2684973384551520000000000000000000000000000000,7,398,1,23327
100,19760219790679100000000000000000000000000000000,7,402,1,23729
