lvl,price,price change,farming,farming change,total farming
1,421,,89,,89
2,448,1,94,1,183
3,484,1,99,1,282
4,534,1,105,1,387
5,599,1,110,1,497
6,684,1,115,1,612
7,796,1,120,1,732
8,942,1,126,1,858
9,1136,1,131,1,989
10,1394,1,136,1,1125
11,1742,1,142,1,1267
12,2217,1,147,1,1414
13,2873,1,153,1,1567
14,3790,1,159,1,1726
15,5090,1,164,1,1890
16,6960,1,170,1,2060
17,9691,1,176,1,2236
18,13739,1,181,1,2417
19,19831,1,187,1,2604
20,29144,1,193,1,2797
21,43608,1,199,1,2996
22,66436,2,205,1,3201
23,103053,2,211,1,3412
24,162755,2,217,1,3629
25,261712,2,223,1,3852
26,428480,2,229,1,4081
27,714258,2,235,1,4316
28,1212264,2,241,1,4557
29,2094866,2,248,1,4805
30,3685807,2,254,1,5059
31,6602771,2,260,1,5319
32,12043071,2,267,1,5586
33,22364826,2,273,1,5859
34,42287412,2,280,1,6139
35,81409294,2,286,1,6425
36,159571076,2,293,1,6718
37,318457632,2,299,1,7017
38,647092623,2,306,1,7323
39,1338747082,2,313,1,7636
40,2819992324,2,319,1,7955
41,6048039458,2,326,1,8281
42,13206830568,2,333,1,8614
43,29362964315,2,340,1,8954
44,66468899598,2,347,1,9301
45,153198453568,2,354,1,9655
46,359507185000,2,361,1,10016
47,858970142597,2,368,1,10384
48,2089613005651,2,375,1,10759
49,5175722195349,2,382,1,11141
50,13052489528883,3,389,1,11530
51,33514523562912,3,396,1,11926
52,87617336540184,3,404,1,12330
53,233219223373857,3,411,1,12741
54,632056560163087,3,418,1,13159
55,1744073737185580,3,426,1,13585
56,4899943160196070,3,433,1,14018
57,14016337381728700,3,441,1,14459
58,40822100149448300,3,448,1,14907
59,121052411546440000,3,456,1,15363
60,365484402949057000,3,463,1,15826
61,1123521923590620000,3,471,1,16297
62,3516507558166580000,3,479,1,16776
63,11206212657877300000,3,487,1,17263
64,36359965705187800000,3,494,1,17757
65,120117247240547000000,3,502,1,18259
66,404021593628057000000,3,510,1,18769
67,1383633551384290000000,3,518,1,19287
68,4824528680033430000000,3,526,1,19813
69,17127974236726700000000,4,534,1,20347
70,61911939645542100000000,4,542,1,20889
71,227855816951493000000000,4,550,1,21439
72,853813723067930000000000,4,558,1,21997
73,3257492631953900000000000,4,566,1,22563
74,12653802566470200000000000,4,575,1,23138
75,50046759987078800000000000,4,583,1,23721
76,201533932788203000000000000,4,591,1,24312
77,826299887983280000000000000,4,600,1,24912
78,3449407541381780000000000000,4,608,1,25520
79,14661169807685400000000000000,4,617,1,26137
80,63446846296151100000000000000,4,625,1,26762
81,279555960541455000000000000000,4,634,1,27396
82,1254136402449720000000000000000,4,642,1,28038
83,5728462729509670000000000000000,5,651,1,28689
84,26640888845279400000000000000000,5,659,1,29348
85,126146913789552000000000000000000,5,668,1,30016
86,608165598100671000000000000000000,5,677,1,30693
87,2985275182974070000000000000000000,5,686,1,31379
88,14919840900247800000000000000000000,5,695,1,32074
89,75920894107119500000000000000000000,5,703,1,32777
90,393346904513373000000000000000000000,5,712,1,33489
91,2074949160076070000000000000000000000,5,721,1,34210
92,11144394679960200000000000000000000000,5,730,1,34940
93,60942856852307100000000000000000000000,5,740,1,35680
94,339317637416317000000000000000000000000,6,749,1,36429
95,1923567189070780000000000000000000000000,6,758,1,37187
96,11102622850376000000000000000000000000000,6,767,1,37954
97,65247085153777200000000000000000000000000,6,776,1,38730
98,390403716115538000000000000000000000000000,6,786,1,39516
99,2378395484726810000000000000000000000000000,6,795,1,40311
100,14752699666125200000000000000000000000000000,6,804,1,41115
