lvl,price,price change,farming,farming change,total farming
1,3012,,608,,608
2,3080,1,614,1,1222
3,3187,1,621,1,1843
4,3338,1,627,1,2470
5,3539,1,633,1,3103
6,3796,1,639,1,3742
7,4122,1,645,1,4387
8,4530,1,652,1,5039
9,5038,1,658,1,5697
10,5670,1,664,1,6361
11,6459,1,671,1,7032
12,7447,1,677,1,7709
13,8690,1,684,1,8393
14,10262,1,690,1,9083
15,12265,1,697,1,9780
16,14836,1,703,1,10483
17,18162,1,710,1,11193
18,22503,1,717,1,11910
19,28218,1,724,1,12634
20,35811,1,730,1,13364
21,45996,1,737,1,14101
22,59790,1,744,1,14845
23,78661,1,751,1,15596
24,104736,1,758,1,16354
25,141139,1,765,1,17119
26,192490,1,772,1,17891
27,265694,1,779,1,18670
28,371164,1,786,1,19456
29,524762,1,793,1,20249
30,750879,1,800,1,21049
31,1087400,1,808,1,21857
32,1593750,1,815,1,22672
33,2364081,1,822,1,23494
34,3549084,2,829,1,24323
35,5392394,2,837,1,25160
36,8291985,2,844,1,26004
37,12904672,2,852,1,26856
38,20325768,2,859,1,27715
39,32401005,2,867,1,28582
40,52273494,2,874,1,29456
41,85352475,2,882,1,30338
42,141046474,2,890,1,31228
43,235895625,2,897,1,32125
44,399290588,2,905,1,33030
45,684021563,2,913,1,33943
46,1185938167,2,921,1,34864
47,2080970066,2,929,1,35793
48,3695567628,2,936,1,36729
49,6642139750,2,944,1,37673
50,12082210486,2,952,1,38625
51,22243151491,2,960,1,39585
52,41443628857,2,968,1,40553
53,78150320899,2,977,1,41530
54,149147263435,2,985,1,42515
55,288078831467,2,993,1,43508
56,563143321396,2,1001,1,44509
57,1114135629475,2,1009,1,45518
58,2230841534622,2,1018,1,46536
59,4520754406777,2,1026,1,47562
60,9271812503827,2,1034,1,48596
61,19245531118055,2,1043,1,49639
62,40430274941866,2,1051,1,50690
63,85959725985500,2,1060,1,51750
64,184967268809560,2,1068,1,52818
65,402815598017854,2,1077,1,53895
66,887828757791722,2,1085,1,54980
67,1980449036468000,2,1094,1,56074
68,4471051451837380,2,1103,1,57177
69,10215678061717100,2,1112,1,58289
70,23623065940807300,2,1120,1,59409
71,55286215238190300,2,1129,1,60538
72,130951052074283000,2,1138,1,61676
73,313915425814697000,2,1147,1,62823
74,761601615821534000,2,1156,1,63979
75,1870055904935710000,2,1165,1,65144
76,4647215979011020000,2,1174,1,66318
77,11688066056774400000,3,1183,1,67501
78,29751166047788200000,3,1192,1,68693
79,76643770201683900000,3,1201,1,69894
80,199830263978398000000,3,1210,1,71104
81,527299303738119000000,3,1220,1,72324
82,1408201061814390000000,3,1229,1,73553
83,3806130465259690000000,3,1238,1,74791
84,10411521683631200000000,3,1247,1,76038
85,28824134714445400000000,3,1257,1,77295
86,80762524086672400000000,3,1266,1,78561
87,229020849926825000000000,3,1276,1,79837
88,657281932290950000000000,3,1285,1,81122
89,1909149334309900000000000,3,1295,1,82417
90,5612284007512070000000000,3,1304,1,83721
91,16697479303883200000000000,3,1314,1,85035
92,50277505390567000000000000,3,1324,1,86359
93,153217390847145000000000000,3,1333,1,87692
94,472556713424642000000000000,3,1343,1,89035
95,1475065638029660000000000000,3,1353,1,90388
96,4659939611559440000000000000,3,1363,1,91751
97,14899125041210000000000000000,3,1373,1,93124
98,48211736591307900000000000000,3,1382,1,94506
99,157890615950139000000000000000,3,1392,1,95898
100,523324896999283000000000000000,3,1402,1,97300
