lvl,price,price change,farming,farming change,total farming
1,408,,91,,91
2,418,1,100,1,191
3,434,1,109,1,300
4,457,1,119,1,419
5,489,1,128,1,547
6,530,1,138,1,685
7,582,1,148,1,833
8,649,1,158,1,991
9,733,1,168,1,1159
10,841,1,179,1,1338
11,977,1,189,1,1527
12,1151,1,200,1,1727
13,1376,1,210,1,1937
14,1668,1,221,1,2158
15,2051,1,232,1,2390
16,2557,1,243,1,2633
17,3232,1,255,1,2888
18,4143,1,266,1,3154
19,5386,1,278,1,3432
20,7101,1,290,1,3722
21,9494,1,301,1,4023
22,12872,1,313,1,4336
23,17698,1,326,1,4662
24,24676,1,338,1,5000
25,34892,1,350,1,5350
26,50031,1,363,1,5713
27,72751,1,376,1,6089
28,107280,1,388,1,6477
29,160428,1,401,1,6878
30,243288,2,415,1,7293
31,374145,2,428,1,7721
32,583500,2,441,1,8162
33,922830,2,455,1,8617
34,1480070,2,468,1,9085
35,2407261,2,482,1,9567
36,3970490,2,496,1,10063
37,6641179,2,510,1,10573
38,11264875,2,525,1,11098
39,19377051,2,539,1,11637
40,33800968,2,554,1,12191
41,59793051,2,568,1,12759
42,107263609,2,583,1,13342
43,195134574,2,598,1,13940
44,359994748,2,613,1,14553
45,673500974,2,628,1,15181
46,1277792734,2,644,1,15825
47,2458457604,2,659,1,16484
48,4796728692,2,675,1,17159
49,9490906817,2,691,1,17850
50,19043658577,2,707,1,18557
51,38750132031,2,723,1,19280
52,79960611970,2,739,1,20019
53,167324353134,2,755,1,20774
54,355076820931,2,772,1,21546
55,764127120224,2,788,1,22334
56,1667589022304,2,805,1,23139
57,3690562494879,2,822,1,23961
58,8282781848990,2,839,1,24800
59,18851243578864,2,856,1,25656
60,43509481683201,2,874,1,26530
61,101837548722605,2,891,1,27421
62,241719722645336,2,909,1,28330
63,581830334685214,2,926,1,29256
64,1420236781275260,2,944,1,30200
65,3515647100148020,2,962,1,31162
66,8825308900438430,3,980,1,32142
67,22466461678121800,3,999,1,33141
68,57998874494408600,3,1017,1,34158
69,151839433672429000,3,1036,1,35194
70,403115694990415000,3,1055,1,36249
71,1085312893046990000,3,1073,1,37322
72,2963195734883980000,3,1092,1,38414
73,8204381379163610000,3,1112,1,39526
74,23036233044014800000,3,1131,1,40657
75,65592956916422300000,3,1150,1,41807
76,189401353335111000000,3,1170,1,42977
77,554611753721030000000,3,1190,1,44167
78,1646930161976670000000,3,1209,1,45376
79,4959540260993240000000,3,1229,1,46605
80,15145645230815500000000,3,1250,1,47855
81,46904473144756800000000,3,1270,1,49125
82,147306146022812000000000,3,1290,1,50415
83,469145543278660000000000,3,1311,1,51726
84,1515215644055950000000000,3,1331,1,53057
85,4962738811814160000000000,3,1352,1,54409
86,16483465179796100000000000,3,1373,1,55782
87,55520802377748700000000000,3,1394,1,57176
88,189645732924521000000000000,3,1416,1,58592
89,656917058761289000000000000,3,1437,1,60029
90,2307587229223510000000000000,4,1459,1,61488
91,8220265346644460000000000000,4,1480,1,62968
92,29695706977857700000000000000,4,1502,1,64470
93,108788158280064000000000000000,4,1524,1,65994
94,404156625277545000000000000000,4,1546,1,67540
95,1522642344534320000000000000000,4,1568,1,69108
96,5817363837097340000000000000000,4,1591,1,70699
97,22539001535435700000000000000000,4,1613,1,72312
98,88557070641130900000000000000000,4,1636,1,73948
99,352851472351485000000000000000000,4,1659,1,75607
100,1425741360183610000000000000000000,4,1682,1,77289
